,fileName,baby,bird,car,clouds,dog,female,flower,male,night,people,portrait,river,sea,tree,classes
0,train/images/im1.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
3,train/images/im4.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
4,train/images/im5.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
6,train/images/im7.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
10,train/images/im11.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
11,train/images/im12.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
12,train/images/im13.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['male']
14,train/images/im15.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"['clouds', 'tree']"
15,train/images/im16.jpg,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"['night', 'people']"
20,train/images/im21.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
23,train/images/im24.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
24,train/images/im25.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
25,train/images/im26.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
27,train/images/im28.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
30,train/images/im31.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
31,train/images/im32.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
32,train/images/im33.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
35,train/images/im36.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
36,train/images/im37.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
38,train/images/im39.jpg,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"['female', 'male', 'people', 'portrait']"
40,train/images/im41.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
42,train/images/im43.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
43,train/images/im44.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
44,train/images/im45.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
46,train/images/im47.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
48,train/images/im49.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"['bird', 'male', 'people']"
49,train/images/im50.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,"['female', 'male', 'people']"
50,train/images/im51.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
54,train/images/im55.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
55,train/images/im56.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
59,train/images/im60.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
66,train/images/im67.jpg,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"['female', 'people', 'sea']"
67,train/images/im68.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
71,train/images/im72.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['car']
72,train/images/im73.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
74,train/images/im75.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
75,train/images/im76.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
76,train/images/im77.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"['clouds', 'tree']"
78,train/images/im79.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
79,train/images/im80.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
80,train/images/im81.jpg,0,0,0,1,0,1,0,0,0,1,0,0,0,0,"['clouds', 'female', 'people']"
82,train/images/im83.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
84,train/images/im85.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
85,train/images/im86.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
86,train/images/im87.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
87,train/images/im88.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
88,train/images/im89.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['people']
90,train/images/im91.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
91,train/images/im92.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
92,train/images/im93.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
94,train/images/im95.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
95,train/images/im96.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['male']
96,train/images/im97.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['bird']
97,train/images/im98.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
98,train/images/im99.jpg,0,0,0,0,0,0,0,1,0,1,1,0,0,0,"['male', 'people', 'portrait']"
99,train/images/im100.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"['female', 'people']"
100,train/images/im101.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
102,train/images/im103.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
103,train/images/im104.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
104,train/images/im105.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
105,train/images/im106.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['night']
109,train/images/im110.jpg,0,0,0,0,0,1,0,0,0,1,1,0,0,0,"['female', 'people', 'portrait']"
111,train/images/im112.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
112,train/images/im113.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['tree']
113,train/images/im114.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
115,train/images/im116.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['clouds']
118,train/images/im119.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
120,train/images/im121.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['dog']
122,train/images/im123.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['sea']
123,train/images/im124.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"['male', 'people']"
124,train/images/im125.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['flower']
